ID,SoundLabel,BGM1,BGM2,BGM3,BGM4,BGM5,InSoundTest,byte2,byte3,byte4,InRegionJPN,InRegionEUUS,SoundSource,SoundMixType,IconID,SoundTestBackImageBehavior,AssociatedFighters,SoundTestOrder,StageCreationOrder,StageCreationGroup,short17
0,SOUND,CRS02_Senjyou,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,1,0,smashbros,0
1,SOUND1,W34_SBDX_Menu,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,smashbros,RosterRandom,,449,7,smashbros,0
2,SOUND2,CRS03_Shuuten,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,2,1,smashbros,0
3,SOUND3,W35_SBDX_Menu_ver2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,smashbros,RosterRandom,,450,8,smashbros,0
4,SOUND4,CRS05_MasterHand,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,470,24,smashbros,0
5,SOUND5,CRS06_MasterCore,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,SmashOriginal,smashbros,RosterRandom,,471,25,smashbros,0
6,SOUND6,A27_3DL_SMB_Theme,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,33,66,mario,0
7,SOUND7,A25_SMB3_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,10,43,mario,0
8,SOUND8,A26_NEW2_Athletic_Chijyou,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,34,67,mario,0
9,SOUND9,A24_SMB_Chijyou_Chika,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,5,38,mario,0
10,SOUNDA,A30_MKT_RainbowRoad_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,54,100,mariocart,0
11,SOUNDB,A31_MKT7_RainbowRoad,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,mario,CharacterRandom,Mario | Luigi | Peach | Koopa | Rosetta | KoopaJr,55,101,mariocart,0
12,SOUNDC,H11_BW_N_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pokemon,CharacterRandom,Pikachu | Lucario | Lizardon | Purin | Gekkouga | Mewtwo,224,242,pokemon,0
13,SOUNDD,H12_BW_Sentou_Zekrom_Reshiram,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pokemon,CharacterRandom,Pikachu | Lucario | Lizardon | Purin | Gekkouga | Mewtwo,225,243,pokemon,0
14,SOUNDE,H13_XY_Sentou_Trainer,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,pokemon,CharacterRandom,Pikachu | Lucario | Lizardon | Purin | Gekkouga | Mewtwo,229,247,pokemon,0
15,SOUNDF,Cus001_SqueakSquad,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,kirby,CharacterRandom,Kirby,999,999,kirby,0
16,SOUNDG,C22_TNO_GerudoNoTani,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,103,136,zelda,0
17,SOUNDH,C09_TNO_Medley,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,105,138,zelda,0
18,SOUNDI,C23_DNK_TrainField2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,114,147,zelda,0
19,SOUNDJ,C20_ZLD_MainTheme_Chika,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,zelda,CharacterRandom,Link | Zelda | Sheik | Ganon | Toonlink,92,125,zelda,0
20,SOUNDK,Cus002_Adrenaline,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,CharacterRandom,Captain,999,999,smashbros,0
21,SOUNDL,Cus003_Sonic3MegaDMix,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Remix,sonic,RosterRandom,Sonic,999,999,sonic,0
22,SOUNDM,Cus004_HalfMinuteHero,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,smashbros,RosterRandom,,999,999,etc,0
23,SOUNDN,Cus005_BlackTar,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,RosterRandom,Shulk,999,999,xenoblade,0
24,SOUNDO,Cus006_Melancholia,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,Original,xenoblade,RosterRandom,Shulk,999,999,xenoblade,0
25,SOUNDP,F13_KBY_GreenGreens_ver2,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,CoreGameSound,RemixRed,kirby,CharacterRandom,Kirby | Metaknight | Dedede,170,188,kirby,0
