BGMID,Title,unk1,unk2,unk3,unk4,MenuCheckPoint1,MenuCheckPoint2,MenuCheckPoint3,MenuCheckPoint4,LoopStartTime,LoopEndTime,LoopStartSample,LoopEndSample,StreamTotalDuration,StreamTotalSamples
1,Cus001_SqueakSquad,1,-1,400,-1,-1,-1,-1,-1,650,67431,28672,2973735,67431,2973737
2,Cus002_Adrenaline,1,-1,400,-1,-1,-1,-1,-1,0,187199,0,8255519,187200,8255520
3,Cus003_Sonic3MegaDMix,1,-1,400,-1,-1,-1,-1,-1,30882,110271,1361920,4862969,110271,4862970
4,Cus004_HalfMinuteHero,1,-1,400,-1,-1,-1,-1,-1,5201,58397,229376,2575348,58397,2575350
5,Cus005_BlackTar,1,-1,400,-1,-1,-1,-1,-1,14628,180586,645120,7963881,180586,7963883
6,Cus006_Melancholia,1,-1,400,-1,-1,-1,-1,-1,19829,235085,874496,10367273,235085,10367275
7,Cus007_Primordia,1,-1,400,-1,-1,-1,-1,-1,2600,156720,114688,6911376,156720,6911378
8,Cus008_Uncontrollable,1,-1,400,-1,-1,-1,-1,-1,6501,227634,286720,10038703,227635,10038706
9,Cus009_NeosCity,1,-1,400,-1,-1,-1,-1,-1,19115,124347,917504,5968563,124347,5968564
10,Cus010_FerrumStadium,1,-1,400,-1,-1,-1,-1,-1,8064,107806,387072,5174596,107806,5174597
11,Cus011_Splattack,1,-1,400,-1,-1,-1,-1,-1,6176,99969,272384,4408658,99969,4408661
12,Cus012_BeforeBodyDry,1,-1,400,-1,-1,-1,-1,-1,16253,242247,716800,10683093,242247,10683096
13,Cus013_QueSeraSera,1,-1,400,-1,-1,-1,-1,-1,41285,295009,1820672,13009920,295009,13009921
14,Cus014_SpiralMountain,1,-1,400,-1,-1,-1,-1,-1,2606,126926,57344,2792132,126926,2792135
15,Cus015_TrueLoveMaking,1,-1,400,-1,-1,-1,-1,-1,10402,95489,458752,4211080,95489,4211082
16,Cus016_Amazon,1,-1,400,-1,-1,-1,-1,-1,8777,178707,387072,7881013,178707,7881015
17,A38_GLX_EggPlanet,1,10669,400,-1,-1,-1,-1,-1,7989,117042,383488,5617919,117052,5618396
18,Cus017_PokeAnimeBattle,1,-1,400,-1,-1,-1,-1,-1,23730,58858,1046528,2595647,58858,2595649
19,Cus018_HyruleWarriorsKakariko,1,-1,400,-1,-1,-1,-1,-1,5526,109152,243712,4813630,109152,4813632
20,Cus019_HyruleWarriorsSkyloft,1,-1,400,-1,-1,-1,-1,-1,25984,133184,1247232,6392833,133184,6392834
21,Cus020_HyruleWarriorsSilentGuardians,1,-1,400,-1,-1,-1,-1,-1,19712,134911,946176,6475769,134911,6475770
22,Cus021_Challengers,1,-1,400,-1,-1,-1,-1,-1,23080,85582,1017856,3774205,85582,3774208
23,Cus022_RedSun,1,-1,400,-1,-1,-1,-1,-1,3900,121501,172032,5358222,121501,5358225
24,Cus023_BoyGotWings,1,-1,400,-1,-1,-1,-1,-1,16579,152315,731136,6717093,152315,6717095
25,Cus024_BelieveInOneself,1,-1,400,-1,-1,-1,-1,-1,9427,90673,415744,3998718,90673,3998720
26,Cus025_FourChampions,1,-1,400,-1,-1,-1,-1,-1,896,77682,28672,2485828,77682,2485831
27,Cus026_Moon,1,-1,400,-1,-1,-1,-1,-1,26006,172710,1146880,7616537,172710,7616539
28,Cus027_Transylvania,1,-1,400,-1,-1,-1,-1,-1,17879,197085,788480,8691489,197085,8691491
29,Cus028_SvenskSas,1,-1,400,-1,-1,-1,-1,-1,47786,88929,2107392,3921783,88929,3921784
30,Cus029_DragonValley,1,-1,400,-1,-1,-1,-1,-1,0,179105,0,7898535,179105,7898538
31,Cus030_FreedomPlanetMajorBoss,1,-1,400,-1,-1,-1,-1,-1,0,126574,0,5581931,126574,5581933
32,Cus031_RulesOfNature,1,-1,400,-1,-1,-1,-1,-1,113127,227444,4988928,10030311,227444,10030313
33,Cus032_UMVC3CharSelect,1,-1,400,-1,-1,-1,-1,-1,2688,48711,129024,2338151,48711,2338153
34,Cus033_D4Theme,1,-1,400,-1,-1,-1,-1,-1,46811,149948,2064384,6612712,149948,6612714
35,Cus035_CrossbowTrainingTheme,1,-1,400,-1,-1,-1,-1,-1,7168,71560,229376,2289938,71560,2289939
36,Cus036_Hanafuda,1,-1,400,-1,-1,-1,-1,-1,8960,169034,286720,5409110,169034,5409113
37,Cus037_Gumshoe,1,-1,400,-1,-1,-1,-1,-1,1300,50123,57344,2210456,50123,2210458
38,Cus038_TvCCharSelect,1,-1,400,-1,-1,-1,-1,-1,7476,65221,329728,2876251,65221,2876253
39,Cus039_Gesellschaft,1,-1,400,-1,-1,-1,-1,-1,3900,86092,172032,3796687,86092,3796690
40,B12_SPR_JungleLevel,1,23092,400,-1,-1,-1,-1,-1,11145,109436,534968,5252827,109446,5253304
41,Cus040_TvSUASCharSel,1,-1,400,-1,-1,-1,-1,-1,1950,58421,86016,2576377,58421,2576380
42,B14_RTN_DonkeyKongReturnes,1,15335,400,-1,-1,-1,-1,-1,1834,93439,88032,4484955,93538,4489744
43,Cus041_KillerInstictCharSel,1,-1,400,-1,-1,-1,-1,-1,11349,23162,544768,1111821,23162,1111823
44,B16_RTN_MogryaNoKoujigenba,1,31962,400,-1,-1,-1,-1,-1,22575,76272,1083572,3660971,76272,3660972
45,Cus042_UndertaleBonetrousle,1,-1,400,-1,-1,-1,-1,-1,0,57596,0,2540005,57596,2540008
46,Cus043_UndertaleSpiderDance,1,-1,400,-1,-1,-1,-1,-1,0,100176,0,4417790,100176,4417792
47,Cus044_UndertaleDogsong,1,-1,400,-1,-1,-1,-1,-1,0,36135,0,1593593,36135,1593596
48,Cus045_UndertaleHopesDreams,1,-1,400,-1,-1,-1,-1,-1,22430,278430,989184,12278778,278430,12278780
49,Cus046_SaintsRowPlanetSaints,1,-1,400,-1,-1,-1,-1,-1,0,177571,0,7830925,177572,7830927
50,Cus130_SFxMMRyu,1,-1,400,-1,-1,-1,-1,-1,0,52715,0,2324738,52715,2324740
51,Cus047_ConkersBadFurWindy,1,-1,400,-1,-1,-1,-1,-1,0,0,0,0,0,0
52,Cus048_LionKing,1,-1,400,-1,-1,-1,-1,-1,325,161138,14336,7106197,161138,7106199
53,Cus049_LionKingHakuna,1,-1,400,-1,-1,-1,-1,-1,325,60798,14336,2681216,60798,2681218
54,Cus050_SCVVeniceRooftops,1,-1,400,-1,-1,-1,-1,-1,8126,84333,358400,3719102,84333,3719105
55,Cus051_SCVSamsara,1,-1,400,-1,-1,-1,-1,-1,11702,81757,516096,3605503,81757,3605504
56,Cus052_SCIILink,1,-1,400,-1,-1,-1,-1,-1,7168,99747,229376,3191916,99747,3191919
57,Cus053_InkMeUp,1,-1,400,-1,-1,-1,-1,-1,13328,69142,587776,3049171,69142,3049172
58,Cus054_FFVIIJENOVA,1,-1,400,-1,-1,-1,-1,-1,16253,75482,716800,3328763,75482,3328765
59,Cus055_FFVIIOneWing,1,-1,400,-1,-1,-1,-1,-1,69241,241460,3053568,10648399,241460,10648400
60,Cus056_FFVIIMotorcycleChase,1,-1,400,-1,-1,-1,-1,-1,86796,168315,3827712,7422727,168315,7422729
61,Cus057_FFVIIACFightOn,1,-1,400,-1,-1,-1,-1,-1,29257,396150,1290240,17470246,396150,17470248
62,Cus058_FFVIIACThoseWhoFight,1,-1,400,-1,-1,-1,-1,-1,19829,91840,874496,4050152,91840,4050154
63,Cus059_CvSNKBarentsburg,1,-1,400,-1,-1,-1,-1,-1,325,76012,14336,3352148,76012,3352151
64,Cus060_GoldenSunIsaac,1,-1,400,-1,-1,-1,-1,-1,72492,142703,3196928,6293227,142703,6293230
65,Cus061_GoldenSunVenus,1,-1,400,-1,-1,-1,-1,-1,650,83150,28672,3666942,83150,3666944
66,Cus063_KHIIPirate,1,-1,400,-1,-1,-1,-1,-1,6501,74903,286720,3303243,74903,3303244
67,Cus062_SugarRush,1,-1,400,-1,-1,-1,-1,-1,298,93366,14336,4481581,93366,4481582
68,Cus064_AfricanMines,1,-1,400,-1,-1,-1,-1,-1,30557,179129,1347584,7899599,179129,7899602
69,E07_ILD_Stage1_1,1,3337,400,-1,-1,-1,-1,-1,3325,119992,159600,5759599,120002,5760076
70,Cus065_Magolor,1,-1,400,-1,-1,-1,-1,-1,21504,153495,688128,4911859,153495,4911862
71,Cus078_MagmoorCaverns,1,-1,400,-1,-1,-1,-1,-1,11200,140419,358400,4493425,140419,4493426
72,Cus079_TorvusBog,1,-1,400,-1,-1,-1,-1,-1,32704,277842,1046528,8890952,277842,8890953
73,Cus066_WickedFlight,1,-1,400,-1,-1,-1,-1,-1,17879,360345,788480,15891245,360345,15891248
74,Cus067_NightOfBigBlue,1,-1,400,-1,-1,-1,-1,-1,3575,103968,157696,4585022,103968,4585024
75,Cus068_CosmoTerminal,1,-1,400,-1,-1,-1,-1,-1,1950,99654,86016,4394754,99654,4394757
76,Cus069_MetalCity,1,-1,400,-1,-1,-1,-1,-1,15928,95924,702464,4230270,95924,4230273
77,Cus070_MarioAllStarsAthletic,1,-1,400,-1,-1,-1,-1,-1,3285,33807,157696,1622745,33807,1622747
78,Cus071_PetalMeadows,1,-1,400,-1,-1,-1,-1,-1,896,60894,28672,1948632,60894,1948633
79,Cus072_RawkHawk,1,-1,400,-1,-1,-1,-1,-1,6272,60938,200704,1950032,60938,1950033
80,Cus073_DireDocks,1,-1,400,-1,-1,-1,-1,-1,11052,185138,487424,8164605,185138,8164608
81,Cus131_SFxMMBoss,1,-1,400,-1,-1,-1,-1,-1,0,42005,0,1852455,42005,1852458
82,F23_AIR_Vallerion,2,9263,400,-1,-1,-1,-1,-1,5134,60829,246428,2919727,60839,2920204
83,Cus074_3DRetroLand,1,-1,400,-1,-1,-1,-1,-1,8064,107806,387072,5174596,107806,5174597
84,Cus075_MountMustDash,1,-1,400,-1,-1,-1,-1,-1,5526,36830,243712,1624223,36830,1624224
85,Cus076_BiancoHills,1,-1,400,-1,-1,-1,-1,-1,4032,77944,129024,2494221,77944,2494223
86,Cus077_ThatPersonsNameIs,1,-1,400,-1,-1,-1,-1,-1,19179,174116,845824,7678525,174116,7678528
87,Cus017_SerpentHorizon,1,-1,400,-1,-1,-1,-1,-1,37059,247382,1634304,10909566,247382,10909568
88,Cus080_PhendranaDrifts,1,-1,400,-1,-1,-1,-1,-1,0,165999,0,5311973,165999,5311975
89,Cus081_GelatoBeach,1,-1,400,-1,-1,-1,-1,-1,2688,89620,86016,2867853,89620,2867855
90,Cus082_HyruleField,1,-1,400,-1,-1,-1,-1,-1,27178,147178,1304576,7064581,147178,7064582
91,Cus083_ClickClockWoods,1,-1,400,-1,-1,-1,-1,-1,7168,146594,157696,3224788,146594,3224791
92,Cus084_MEANIEBoss,1,-1,400,-1,-1,-1,-1,-1,0,160015,0,7056679,160015,7056681
93,Cus085_KingOfCling,1,-1,400,-1,-1,-1,-1,-1,0,126315,0,4042100,126315,4042102
94,Cus086_DKRap,1,-1,400,-1,-1,-1,-1,-1,5305,218879,114688,4731518,218879,4731520
95,Cus087_AngryAztec,1,-1,400,-1,-1,-1,-1,-1,6501,137418,143360,3029949,137419,3029952
96,Cus088_MeleeDKRap,1,-1,400,-1,-1,-1,-1,-1,25088,218807,802816,7001837,218807,7001840
97,Cus089_GangplankGalleon,1,-1,400,-1,-1,-1,-1,-1,31658,106820,1519616,5127374,106820,5127375
98,Cus090_StiltVillage,1,-1,400,-1,-1,-1,-1,-1,2688,76713,129024,3682266,76713,3682267
99,Cus091_Pikmin2Boss,1,-1,400,-1,-1,-1,-1,-1,6176,100000,272384,4410022,100000,4410024
100,Cus092_PlasmWraith,1,-1,400,-1,-1,-1,-1,-1,104350,208401,4601856,9190511,208401,9190514
101,Cus093_SecretOfManaForest,1,-1,400,-1,-1,-1,-1,-1,896,53316,43008,2559173,53316,2559176
102,Cus094_SMRPGMushrooms,1,-1,400,-1,-1,-1,-1,-1,896,56869,43008,2729726,56869,2729728
103,Cus095_PunchOutNESFight,1,-1,400,-1,-1,-1,-1,-1,0,32313,0,1034046,32314,1034048
104,Cus096_DocLouisMedley,1,-1,400,-1,-1,-1,-1,-1,325,71369,14336,3147385,71369,3147388
105,Cus097_BlizzetaSecondHalf,1,-1,400,-1,-1,-1,-1,-1,1950,128289,86016,5657568,128289,5657569
106,Cus098_StallordBattle,1,-1,400,-1,-1,-1,-1,-1,14953,50666,659456,2234378,50666,2234380
107,Cus099_Puppet Zelda,1,-1,400,-1,-1,-1,-1,-1,6826,66839,301056,2947623,66839,2947625
108,Cus100_MaskedDDD,1,-1,400,-1,-1,-1,-1,-1,15232,66431,487424,2125822,66432,2125824
109,Cus101_AnotherDimension,1,-1,400,-1,-1,-1,-1,-1,5824,79260,186368,2536338,79260,2536339
110,Cus102_RetroHalberd,1,-1,400,-1,-1,-1,-1,-1,4480,62361,215040,2993369,62361,2993372
111,Cus103_AirRideDDDBattle,1,-1,400,-1,-1,-1,-1,-1,7168,42246,229376,1351876,42246,1351878
112,Cus104_SnakeyChantey,1,-1,400,-1,-1,-1,-1,-1,17621,52796,845824,2534238,52796,2534241
113,Cus105_TreetopRockReturns,1,-1,400,-1,-1,-1,-1,-1,12544,129050,401408,4129601,129050,4129603
114,Cus106_FranticFields,1,-1,400,-1,-1,-1,-1,-1,20160,148159,645120,4741117,148160,4741120
115,Cus107_AquaductAssault,1,-1,400,-1,-1,-1,-1,-1,6720,139577,215040,4466471,139577,4466473
116,Cus108_MvDKBattle,1,-1,400,-1,-1,-1,-1,-1,0,39907,0,1759903,39907,1759905
117,Cus109_MvDKMushroom,1,-1,400,-1,-1,-1,-1,-1,2600,158640,114688,6996048,158640,6996050
118,Cus110_FearFactory,1,-1,400,-1,-1,-1,-1,-1,597,115572,28672,5547472,115572,5547473
119,Cus111_Attack,1,-1,400,-1,-1,-1,-1,-1,15603,57833,688128,2550470,57833,2550472
120,Cus112_LolliLand4,1,-1,400,-1,-1,-1,-1,-1,15278,96100,673792,4238038,96100,4238041
121,Cus113_Flower,1,-1,400,-1,-1,-1,-1,-1,21455,124095,946176,5472608,124095,5472610
122,Cus114_CityTrial,1,-1,400,-1,-1,-1,-1,-1,7168,127942,229376,4094146,127942,4094149
